Nombre,Posicion,Numero,Equipo,Prediccion,Color,Probabilidad,Alinear,Rojo,Naranja,Verde,Azul
Borja Mayoral,FW,9,Getafe,-5.75,Rojo,60.43,No,60.43,34.53,2.78,2.26
Coba da Costa,LM,29,Getafe,-1.25,Naranja,76.14,No,16.03,76.14,4.41,3.42
Juan Bernat,LM,14,Getafe,-5.375,Rojo,55.19,No,55.19,40.14,2.58,2.09
Mauro Arambarri,CM,8,Getafe,16.125,Verde,58.11,Sí,2.63,27.35,58.11,11.92
Chrisantus Uche,CM,6,Getafe,16.375,Verde,59.45,Sí,2.66,25.03,59.45,12.86
Ramón Terrats,RM,11,Getafe,0.5,Naranja,78.92,Sí,12.14,78.92,5.09,3.85
Luis Milla,DM,5,Getafe,13.25,Naranja,64.74,Sí,3.36,64.74,23.54,8.35
Juanmi,FW,24,Getafe,-7.125,Rojo,71.49,No,71.49,22.88,3.09,2.54
Diego Rico,LB,16,Getafe,16.15625,Verde,58.3,Sí,2.63,27.04,58.3,12.04
Omar Alderete,CB,15,Getafe,0.125,Naranja,78.48,Sí,12.81,78.48,4.94,3.76
Domingos Duarte,CB,22,Getafe,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Djené,RB,2,Getafe,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
David Soria,GK,13,Getafe,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Thomas Lemar,LM,11,Atlético Madrid,-4.5,Naranja,56.99,No,37.99,56.99,2.78,2.23
Umar Sadiq,FW,12,Valencia,16.25,Verde,58.83,Sí,2.64,26.15,58.83,12.38
Diego López,LW,16,Valencia,0.5,Naranja,78.92,Sí,12.14,78.92,5.09,3.85
Francisco Perez,RW,23,Valencia,-6.25,Rojo,65.53,No,65.53,29.12,2.95,2.4
Luis Rioja,RW,22,Valencia,16.375,Verde,59.45,Sí,2.66,25.03,59.45,12.86
Sergi Canós,LW,7,Valencia,-5.625,Rojo,58.85,No,58.85,36.22,2.72,2.21
Domingos André Ribeiro Almeida,AM,10,Valencia,16.375,Verde,59.45,Sí,2.66,25.03,59.45,12.86
Ivan Jaime Pajuelo,AM,17,Valencia,-2.875,Naranja,70.68,No,22.62,70.68,3.74,2.96
Enzo Barrenechea,DM,5,Valencia,18.125,Verde,61.29,Sí,2.54,14.86,61.29,21.32
Mouctar Diakhaby,DM,4,Valencia,-5.875,Rojo,61.87,No,61.87,33.0,2.83,2.3
Javier Guerra,DM,8,Valencia,16.25,Verde,58.83,Sí,2.64,26.15,58.83,12.38
José Luis García Vayá,DM,18,Valencia,-3.5,Naranja,67.02,No,26.81,67.02,3.44,2.74
José Luis Gayà,LB,14,Valencia,16.25,Verde,58.83,Sí,2.64,26.15,58.83,12.38
Cristhian Mosquera,CB,3,Valencia,16.625,Verde,60.47,Sí,2.67,23.04,60.47,13.82
César Tárrega,CB,15,Valencia,16.34375,Verde,59.31,Sí,2.65,25.3,59.31,12.74
Dimitri Foulquier,RB,20,Valencia,17.25,Verde,61.83,Sí,2.66,19.02,61.83,16.49
Giorgi Mamardashvili,GK,25,Valencia,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Chuky san jose,DM,28,Valladolid,-3.375,Naranja,67.86,No,25.85,67.86,3.5,2.78
Darwin Machís,RW,18,Valladolid,-3.625,Naranja,66.11,No,27.84,66.11,3.37,2.68
David Torres,CB,3,Valladolid,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
