Name,Shirtnumber,Nationality,Position,Age,Minutes,Goals,Assists,Pens Made,Pens Att,Shots,Shots on Target,Cards Yellow,Cards Red,Touches,Tackles,Interceptions,Blocks,XG,NPXG,XG Assist,SCA,GCA,Passes Completed,Passes,Passes %,Progressive Passes,Carries,Progressive Carries,Take Ons,Take Ons Won,GC (Goles en contra),Salvadas,PSxG,Opponent Team,Match Date,Puntuation,Team Style,Year,Month,Day,Reward
Arnaut Danjuma,9,nlNED,FW,27-208,58,0,0,0,0,1,0,0,0,14,1,0,1,0.0,0.0,0.0,1,0,9,9,100.0,0,7,1,1,0,3,0,0,Celta Vigo,"August 26, 2024",0.0
Thierno Barry,15,frFRA,FW,21-310,32,1,0,0,0,2,1,0,0,12,0,0,1,0.4,0.4,0.0,1,0,3,5,60.0,1,4,1,1,0,3,0,0,Celta Vigo,"August 26, 2024",4.0
Gerard Moreno,7,esESP,FW,32-141,45,0,1,0,0,3,1,0,0,25,1,0,0,0.2,0.2,1.2,5,1,18,22,81.8,5,11,0,0,0,3,0,0,Celta Vigo,"August 26, 2024",5.0
Ayoze Pérez,22,esESP,FW,31-028,45,0,0,0,0,1,0,0,0,14,1,0,0,0.0,0.0,0.1,2,0,8,9,88.9,2,9,0,2,1,3,0,0,Celta Vigo,"August 26, 2024",0.0
Alex Baena,16,esESP,LM,23-037,71,0,0,0,0,4,2,0,0,44,0,1,1,0.5,0.5,0.5,11,0,21,35,60.0,5,22,3,1,0,3,0,0,Celta Vigo,"August 26, 2024",4.0
Pape Gueye,18,snSEN,CM,25-215,19,0,0,0,0,1,1,1,0,16,0,0,0,0.0,0.0,0.0,1,0,10,15,66.7,2,9,0,0,0,3,0,0,Celta Vigo,"August 26, 2024",-1.0
Daniel Parejo,10,esESP,CM,35-132,90,1,0,0,1,1,1,0,0,65,2,0,1,0.9,0.0,0.0,4,2,51,57,89.5,6,28,0,1,1,3,0,0,Celta Vigo,"August 26, 2024",9.0
Santi Comesaña,14,esESP,CM,27-326,90,0,0,0,0,2,0,0,0,77,2,2,3,0.1,0.1,0.0,4,0,57,61,93.4,9,42,1,1,0,3,0,0,Celta Vigo,"August 26, 2024",6.0
Yeremi Pino,21,esESP,RM,21-311,57,0,0,0,0,2,0,0,0,31,1,0,0,0.3,0.3,0.0,1,0,23,26,88.5,1,17,1,0,0,3,0,0,Celta Vigo,"August 26, 2024",1.0
Nicolas Pépé,19,ciCIV,RM,29-089,33,0,0,0,0,1,1,1,0,14,0,0,0,0.1,0.1,0.0,2,0,10,11,90.9,0,9,2,1,1,3,0,0,Celta Vigo,"August 26, 2024",-1.0
